Crystal
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      26      10      5      5      5     5      5      5      2     1      5
5      7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
11     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
18     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
26     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
35     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
45     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
56     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
68     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2
81     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3
95     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
110    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
126    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
143    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
161    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
180    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
200    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
221    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2
243    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
266    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3
290    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
315    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
341    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
368    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
396    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
425    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
455    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2
486    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
518    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
551    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   1 1  1 2
585    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
620    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
656    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
693    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
731    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
770    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2
810    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
851    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
893    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
936    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3
980    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
1025   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
1071   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
1118   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
1166   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2
1215   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
1265   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3
1316   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2
1368   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3
1421   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3
1475   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2

