Darin
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      30      6       7      6      3     4      7      6      3     8    6   0
5      8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
11     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
18     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
26     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
35     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
45     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
56     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3 5
68     7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
81     9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
95     8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
110    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
126    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
143    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
161    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
180    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3 0
200    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
221    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
243    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
266    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
290    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
315    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
331    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
358    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2 0
386    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
415    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
445    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
486    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
518    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
551    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
585    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
620    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    1 1   1 1  2 3 0
656    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
693    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
731    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
770    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
810    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
851    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
893    7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
936    9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    1 1   1 1  1 3 0
980    8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
1025   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   1 1  1 2 0
1071   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
1118   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
1166   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
1215   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   1 1  1 3 0
1265   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   0 0  2 3 0
1316   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    1 1   1 1  1 2 0
1368   9 13    1 2     3 3    1 2    1 2   1 3    1 2    2 3    0 0   0 0  1 3 0
1421   8 12    1 3     2 3    1 3    0 2   1 2    3 3    1 2    0 0   1 1  2 3 0
1475   7 11    2 3     1 2    2 3    0 1   0 1    2 3    1 3    0 0   0 0  1 2 0
                                                                              
