Dexter
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      22      16      3      3      8     7      2      3      2     2    3   0
5      5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
11     6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
18     6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
26     5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
35     6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 1
45     6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 2
56     5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 3
68     6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 4
81     6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    1 1   0 0  1 2 5
95     5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
110    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
126    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
143    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
161    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
180    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
200    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
221    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
243    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    1 1   0 0  1 2 0
266    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
290    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
315    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
341    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
368    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
396    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
425    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
455    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
486    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
518    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    1 1   0 0  0 2 0
551    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
585    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
620    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
656    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
693    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
731    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
770    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
810    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
851    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    1 1   0 0  0 2 0
893    6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
936    6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
980    5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
1025   6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
1071   6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
1118   5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
1166   6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   0 0  0 1 0
1215   6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
1265   5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    1 1   0 0  0 2 0
1368   6 10    4 7     0 1    0 2    1 3   1 2    0 2    1 2    0 0   1 1  0 1 0
1421   6 8     5 6     1 2    0 1    3 4   2 4    0 1    0 2    0 0   0 0  1 2 0
1475   5 9     4 6     0 2    1 2    2 3   2 3    0 1    0 1    0 0   0 0  0 2 0
                                                                               
