Galfrey
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      34      0       9      9      1     2      7      5      3     5    6
5      9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
11     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
18     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
26     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
35     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
45     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
56     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
68     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
81     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3
95     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
110    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
126    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
143    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
161    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
180    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
200    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
221    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
243    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
266    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    1 1   0 0  1 3
290    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
315    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
341    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
368    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
396    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
425    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
455    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
486    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
551    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
585    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    1 1   0 0  1 2
620    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
656    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
693    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
731    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
770    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
810    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
851    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
893    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
936    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
980    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3
1025   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1071   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1118   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
1166   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1215   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1265   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
1368   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3
1421   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2
1475   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3
       
