Sara
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea
0      29      6       6      7      3     3      6      7      4     7    7
5      8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
11     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
18     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
26     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
35     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
45     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
56     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
68     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
81     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
95     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
110    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
126    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
143    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
161    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
180    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
200    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
221    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
243    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
266    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
290    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
315    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
341    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
368    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
396    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
425    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
455    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
486    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
551    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
585    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
620    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
656    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
693    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
731    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
770    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
810    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
851    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
893    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
936    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
980    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
1025   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
1071   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
1118   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3
1166   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2
1215   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4
1265   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3
1368   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2
1421   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4
1475   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   1 1  2 3
       
