Crystal
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      26      10      5      5      5     5      5      5      2     1      5 0
5      7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
11     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 1
18     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 2
26     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
35     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 3
45     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
56     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 4
68     6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2 0
81     8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3 0
95     7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
110    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 5
126    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
143    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
161    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
180    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
200    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
221    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2 0
243    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
266    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3 0
290    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
315    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
341    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
368    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
396    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
425    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
455    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2 0
486    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
518    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
551    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   1 1  1 2 0
585    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
620    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
656    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
693    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
731    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
770    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2 0
810    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
851    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
893    6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
936    8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   1 1  2 3 0
980    7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
1025   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
1071   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
1118   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
1166   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    1 1   0 0  1 2 0
1215   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
1265   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   0 0  1 3 0
1316   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
1368   8 10    2 3     2 3    1 2    1 3   2 3    1 2    1 3    0 0   0 0  2 3 0
1421   7 11    3 4     1 3    2 3    1 2   1 3    2 3    1 2    0 0   1 1  1 3 0
1475   6 10    4 4     1 2    1 3    2 3   1 2    1 3    2 3    0 0   0 0  1 2 0
                                                                               
