Galfrey
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      34      0       9      9      1     2      7      5      3     5    6   0
5      9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
11     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
18     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
26     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
35     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
45     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
56     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
68     10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
81     10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3 0
95     9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
110    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
126    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
143    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
161    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
180    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
200    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
221    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
243    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
266    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    1 1   0 0  1 3 0
290    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
315    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
341    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
368    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
396    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
425    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
455    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
486    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
551    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
585    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    1 1   0 0  1 2 0
620    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
656    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
693    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
731    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
770    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
810    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
851    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
893    9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
936    10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
980    10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    1 1   1 1  2 3 0
1025   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
1071   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
1118   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
1166   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
1215   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
1265   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
1368   9 13    0 0     2 4    3 4    0 1   0 1    2 3    1 2    0 0   0 0  1 3 0
1421   10 14   0 0     2 3    2 4    0 0   0 2    1 2    0 2    0 0   0 0  1 2 0
1475   10 12   0 0     3 4    2 3    0 1   0 1    2 4    2 3    0 0   1 1  2 3 0
                                                                               
