Sara
exp    maxhp   maxmp   str    end    mag   mgr    hit%   dod%   mbl   fer  rea spell
0      29      6       6      7      3     3      6      7      4     7    7   0
5      8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
11     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
18     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
26     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
35     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
45     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
56     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
68     7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
81     9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
95     8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
110    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
126    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
143    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
161    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
180    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
200    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
221    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
243    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
266    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
290    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
315    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
341    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
368    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
396    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
425    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
455    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
486    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
551    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
585    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
620    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
656    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
693    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
731    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
770    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
810    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
851    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
893    8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
936    7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
980    9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
1025   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
1071   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
1118   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    1 1   1 1  2 3 0
1166   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   0 0  1 2 0
1215   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   1 1  2 4 0
1265   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   0 0  2 3 0
1368   8 12    1 3     2 3    2 3    0 2   1 2    1 2    2 4    0 0   1 1  1 2 0
1421   7 11    1 2     1 3    1 2    0 1   0 2    2 3    2 3    0 0   0 0  2 4 0
1475   9 11    2 3     1 2    2 4    1 2   0 1    1 3    1 2    0 0   1 1  2 3 0
                                                                               
